wavelength,cool_giant,solar_dwarf,a_star,hot_star
1300,1.33296354612796e-27,1.2417283828565e-08,0.00710742827218386,0.64574008270598
1302.51271768103,1.07303745902699e-27,1.27353127458399e-08,0.0063579677864983,0.614660854509864
1305.03029209294,8.71797327834687e-28,1.31485560752379e-08,0.0061295272195953,0.611280227058293
1307.55273262311,8.54134765322258e-28,1.38537674282951e-08,0.00750327812114133,0.691023753338036
1310.08004867706,9.05129002254206e-28,1.46681402849259e-08,0.0094764832870128,0.80179651852161
1312.6122496785,9.46954907056368e-28,1.54678067354583e-08,0.0113655624708789,0.909054553241974
1315.14934506935,9.59118115396875e-28,1.62236030228998e-08,0.0130820535002486,0.989845631012827
1317.69134430977,8.90353861809965e-28,1.6859530862782e-08,0.0143172777346312,1
1320.23825687822,7.93884065584692e-28,1.74545346804067e-08,0.0153870668946871,0.98593577560461
1322.79009227147,7.01462470351289e-28,1.80524020254312e-08,0.0164916003441223,0.976000179260148
1325.34686000465,6.17196161449478e-28,1.87360549170083e-08,0.0173882086457063,0.958911880637372
1327.90856961129,5.50742433054957e-28,1.95959088986868e-08,0.0178689578184435,0.928326216522996
1330.47523064333,4.89628052694236e-28,2.05086707101201e-08,0.0182252144235154,0.893698732110761
1333.04685267118,4.27293258319188e-28,2.14118517930535e-08,0.018580880974555,0.858757114814757
1335.62344528376,3.75232117953814e-28,2.23419502765253e-08,0.0195413776414776,0.852071378380542
1338.20501808849,3.38326385578403e-28,2.33104931643407e-08,0.0214058989178508,0.887609018564373
1340.79158071141,3.05130987296513e-28,2.42883227740245e-08,0.0234943774987905,0.933554266904677
1343.38314279712,2.71195079171192e-28,2.52609064306696e-08,0.025576291286964,0.978409073026616
1345.9797140089,2.41604111287367e-28,2.63732695872943e-08,0.0264740231644896,0.997961771062896
1348.58130402866,2.16441546659149e-28,2.76305925921516e-08,0.0261354964464473,0.990934277208714
1351.18792255707,1.92053944440414e-28,2.8913559778746e-08,0.0255795648502029,0.979292801610331
1353.79957931354,1.67532024543514e-28,3.0192709738743e-08,0.0250587467687652,0.968696097944461
1356.41628403624,1.42795016836096e-28,3.14232198247574e-08,0.0247652107873692,0.945905171381596
1359.03804648218,1.17913066807925e-28,3.26202010057322e-08,0.0246322419345338,0.914895645962576
1361.66487642725,9.29712368816756e-29,3.38132920659034e-08,0.0245098551884447,0.883088002364592
1364.2967836662,6.7970922459714e-29,3.50050418726808e-08,0.0243824105839893,0.85120552449672
1366.93377801273,5.17084870980805e-29,3.64540863590406e-08,0.0245850005127464,0.849623656318612
1369.5758692995,3.90469079459912e-29,3.80089489347168e-08,0.0249222022591593,0.8605151642454
1372.22306737819,2.60199373798524e-29,3.95540096694676e-08,0.0252570649889892,0.870358137144961
1374.87538211951,1.4339019062682e-29,4.11186497880006e-08,0.0253766039293896,0.879767498903571
1377.53282341325,1.11190566978736e-29,4.28046247425407e-08,0.0241065302912117,0.885736280269821
1380.19540116832,1.03924692571555e-29,4.45256132141198e-08,0.022423452396391,0.890732387177289
1382.86312531277,9.22706551305448e-30,4.62398759802746e-08,0.0208091122630725,0.89595325346906
1385.53600579386,8.17118198421678e-30,4.80645977668732e-08,0.0198113344277575,0.892364971609161
1388.21405257806,7.21981133860933e-30,5.01062186937916e-08,0.0200465257251121,0.871527860926967
1390.89727565111,6.2885240827757e-30,5.21932527111653e-08,0.0205523468943343,0.846637982762289
1393.58568501805,5.35802837097501e-30,5.42763601606323e-08,0.021018484279943,0.822687509878124
1396.27929070326,4.82203320703806e-30,5.67345957739848e-08,0.0223627033304996,0.815676265751117
1398.97810275049,4.62653866141378e-30,5.9516058876417e-08,0.024458213094219,0.823338610788587
1401.68213122292,4.47228804804176e-30,6.23382358228122e-08,0.0266544277682848,0.833064072503204
1404.39138620315,4.31571329410395e-30,6.51541049905652e-08,0.0288220813539082,0.842006211843075
1407.1058777933,4.39603971298244e-30,6.80430724682837e-08,0.0306856044849873,0.837232897247673
1409.825616115,4.55885705645835e-30,7.09576501104429e-08,0.0324398704555098,0.82753788239029
1412.55061130945,4.71369163756086e-30,7.38699971898929e-08,0.0342011534757815,0.818136645495268
1415.28087353744,5.1411534661982e-30,7.68199528201221e-08,0.0359771489810254,0.812522364756086
1418.0164129794,6.45189887317687e-30,7.98922103494939e-08,0.0377974232714936,0.819274126397562
1420.75723983547,7.95940774430685e-30,8.29844554702025e-08,0.0396500692688101,0.828749513363433
1423.50336432546,9.41003050825534e-30,8.60886601003397e-08,0.041440233137344,0.83751495830149
1426.25479668895,1.02776474309242e-29,8.96824902538291e-08,0.0415096899167836,0.840559216400525
1429.01154718533,1.05752006652642e-29,9.37552450612024e-08,0.0399227378303582,0.838037002168227
1431.77362609379,1.07943604394144e-29,9.78585279621272e-08,0.0380385292422016,0.83447352252349
1434.54104371342,1.10432245354502e-29,1.02052151082588e-07,0.0364727519690421,0.832110384567754
1437.31381036319,1.15325537925123e-29,1.08100231966158e-07,0.039629544574957,0.848121069704145
1440.09193638202,1.20905851955157e-29,1.14635557162345e-07,0.0441214068606706,0.869159163854038
1442.87543212884,1.25743981250906e-29,1.19529946304189e-07,0.0473727600418292,0.881246138551674
1445.66430798255,1.29623536442336e-29,1.22073312631142e-07,0.048882436249573,0.879762538460538
1448.45857434217,1.34766430591385e-29,1.26229157114342e-07,0.0504166544651502,0.873809921296585
1451.25824162677,1.40974869492606e-29,1.32113848064549e-07,0.052286846620097,0.86637053962094
1454.0633202756,1.47812279890721e-29,1.38195158986914e-07,0.0540552809539095,0.858262096810059
1456.87382074805,1.61851435348916e-29,1.44747784408036e-07,0.0541395385497634,0.844602405096462
1459.68975352376,1.79807734139794e-29,1.51584502848743e-07,0.0533136325009506,0.827890415945122
1462.5111291026,1.97955921156802e-29,1.58443274216628e-07,0.0524322401735581,0.810962989621385
1465.33795800475,2.1722014445901e-29,1.6494277434028e-07,0.0519007781533646,0.796795451171109
1468.17025077072,2.40721658014235e-29,1.70181204696877e-07,0.0525681716629568,0.792314802714628
1471.00801796139,2.64807343306139e-29,1.75194926513865e-07,0.053414061817198,0.789323227941594
1473.85127015806,2.88993032434369e-29,1.80370006945671e-07,0.0542423598814589,0.786002296856174
1476.70001796247,3.1602654602852e-29,1.86982522246598e-07,0.055329543269065,0.782530841982179
